dateissue,Value
13931013,68829.90
13931014,68650.60
13931015,68232.10
13931016,67471.00
13931017,66902.00
13931020,66197.90
13931021,65512.80
13931022,66000.10
13931023,65929.10
13931024,65939.10
13931027,66273.30
13931028,66319.20
13931029,65835.00
13931030,65564.70
13931101,65028.90
13931104,65029.10
13931105,65105.00
13931106,65114.10
13931107,65127.70
13931108,65256.10
13931111,65542.80
13931112,65544.70
13931113,65555.90
13931114,65597.40
13931115,65771.60
13931118,65787.20
13931119,65366.30
13931120,64917.50
13931121,64840.90
13931125,64932.10
13931126,64926.80
13931127,64993.60
13931128,64811.20
13931129,64720.00
13931202,64867.10
13931203,64719.90
13931204,64678.40
13931205,64525.80
13931206,64051.70
13931209,63950.90
13931210,63860.10
13931211,63954.80
13931212,63996.00
13931213,64014.90
13931216,63911.10
13931217,63806.70
13931218,63846.70
13931219,63852.80
13931220,64070.70
13931223,64610.30
13931224,64980.60
13931225,65122.80
13931226,61532.90
13931227,62531.80
13940105,62885.00
13940108,63625.50
13940109,65099.90
13940110,65175.10
13940111,65728.00
13940115,67827.00
13940116,70261.70
13940117,70843.90
13940118,70159.90
13940119,70684.70
13940122,70022.80
13940123,68783.90
13940124,68454.10
13940125,68465.30
13940126,68078.80
13940129,67374.00
13940130,67378.80
13940131,67016.70
13940201,66828.60
13940202,66569.20
13940205,66540.60
13940206,66208.90
13940207,65576.80
13940208,65508.20
13940209,65634.10
13940213,65088.30
13940214,64415.80
13940215,64168.10
13940216,64069.10
