dateissue,Value
13930604,82832.90
13930605,82584.10
13930608,82036.40
13930609,81841.00
13930610,81553.40
13930611,81452.60
13930612,81347.80
13930615,80900.60
13930616,80702.00
13930617,80997.80
13930618,81079.10
13930619,80957.80
13930622,80279.00
13930623,80103.40
13930624,80206.00
13930625,80218.20
13930626,80153.00
13930629,80213.10
13930630,80457.50
13930631,80711.20
13930701,80781.10
13930702,80999.50
13930705,80803.90
13930706,80738.00
13930707,80694.20
13930708,80710.30
13930709,80634.80
13930712,80680.00
13930714,80867.40
13930715,80735.10
13930716,80778.60
13930719,80832.00
13930720,80847.70
13930722,81095.40
13930723,81208.80
13930726,81261.90
13930727,81625.30
13930728,83259.90
13930729,84190.70
13930730,84311.60
13930803,84438.00
13930804,84167.60
13930805,84328.10
13930806,84312.60
13930807,84832.80
13930810,86232.10
13930811,86845.50
13930814,88018.40
13930817,88217.30
13930818,88295.10
13930819,88178.80
13930820,88414.00
13930821,88129.90
13930824,87057.90
13930825,87307.00
13930826,87497.10
13930827,86827.70
13930828,86629.30
13930901,86428.80
13930902,87130.20
13930903,88190.10
13930904,86454.10
13930905,85381.40
13930908,84412.50
13930909,82978.50
13930910,82652.00
13930911,82653.60
13930912,82165.80
13930915,82141.40
13930916,81496.70
13930917,81847.70
13930918,81829.90
13930919,81412.30
13930923,80326.70
13930924,79275.40
13930925,79430.80
13930926,79178.70
13930929,79302.30
13931001,80156.00
13931003,80238.80
13931006,79792.40
13931007,79762.90
13931008,79492.00
13931009,79314.10
13931010,78977.30
13931013,78874.60
13931014,78779.40
13931015,78168.50
13931016,77219.60
13931017,76654.00
13931020,75665.50
13931021,74651.80
13931022,75402.80
13931023,75383.00
13931024,75310.20
13931027,75628.70
13931028,75409.20
13931029,74721.40
13931030,74321.00
13931101,73525.90
13931104,73465.40
13931105,73671.10
13931106,73511.90
13931107,73565.00
13931108,73883.10
13931111,74418.80
13931112,74463.10
13931113,74562.60
13931114,74726.70
13931115,75127.70
13931118,75234.50
13931119,74666.80
13931120,73984.10
13931121,73839.80
13931125,74062.70
13931126,74082.20
13931127,74250.40
13931128,74100.40
13931129,73970.40
13931202,74136.80
13931203,73831.80
13931204,73778.40
13931205,73627.80
13931206,73000.00
13931209,72814.00
13931210,72825.60
13931211,73046.00
13931212,73108.90
13931213,73272.30
13931216,73084.30
13931217,72922.20
13931218,72914.90
13931219,72696.00
13931220,72911.50
13931223,73620.20
13931224,74395.40
13931225,74665.00
13931226,70687.40
13931227,72209.80
13940105,72674.90
13940108,73644.70
13940109,75540.20
13940110,75464.40
13940111,76066.70
13940115,78505.00
13940116,81327.50
13940117,82365.50
13940118,81598.50
13940119,82371.60
13940122,81510.50
13940123,79799.50
13940124,79198.70
13940125,79239.20
13940126,78787.60
13940129,78050.50
13940130,78189.00
13940131,77698.20
13940201,77509.10
13940202,77313.70
13940205,77335.70
13940206,76913.50
13940207,75932.80
13940208,75782.70
13940209,75828.70
13940213,75070.60
13940214,74078.10
13940215,73759.80
13940216,73572.30
13940219,72740.50
13940220,72036.40
13940221,72391.00
13940222,72854.20
13940223,73056.90
13940227,72882.40
13940228,72907.50
13940229,73099.10
13940230,73152.50
13940302,72711.90
13940303,72691.90
13940304,72903.70
13940305,72742.20
13940306,72634.30
13940309,72637.20
13940310,72449.30
13940311,72454.90
13940312,72500.20
13940316,72432.20
13940317,72079.90
13940318,71610.00
13940319,70781.90
13940320,70759.70
13940323,71232.30
13940324,71391.20
13940325,71081.90
13940326,71338.40
13940327,72659.80
13940330,72933.40
13940331,72901.80
13940401,73588.50
13940402,74397.50
13940403,74401.40
13940406,74344.50
13940407,73635.30
13940408,73739.60
13940409,74556.30
13940410,74440.80
13940413,75885.70
13940414,75790.50
13940415,76057.80
13940416,76941.30
13940420,76817.70
13940421,77829.80
13940422,79638.70
13940423,79807.50
13940424,78667.10
13940428,78667.10
13940429,77780.10
13940430,77674.90
13940431,77090.00
13940503,76339.20
13940504,76319.50
13940505,75529.30
13940506,75622.60
13940507,76006.60
13940510,76049.10
13940511,75628.60
13940512,75689.60
13940513,75462.90
13940514,75478.60
13940517,74918.90
13940518,74923.00
13940519,74736.50
13940521,74405.30
13940524,73912.30
13940525,73831.90
13940526,73773.50
13940527,73543.30
13940528,73588.60
13940531,73511.20
13940601,73097.90
13940602,72888.10
13940603,72253.10
13940604,72234.80
13940607,72711.70
13940608,72679.60
13940609,72288.40
13940610,72396.00
13940611,72482.30
13940614,72977.90
13940615,73058.10
13940616,73042.00
13940617,73047.80
13940618,71441.10
13940621,71391.80
13940622,70444.50
13940623,70433.90
13940624,69778.10
13940625,69526.30
13940628,69460.50
13940629,68388.60
13940630,67811.10
13940631,68251.10
13940701,68518.40
13940704,68233.80
13940705,68248.10
13940706,68255.20
13940707,68279.00
13940708,68106.70
13940711,67527.80
13940712,67394.80
13940713,67561.80
13940714,67429.10
13940715,67674.70
13940718,67716.60
13940719,67490.40
13940720,67685.20
13940721,67960.40
13940722,68885.30
13940725,70046.00
13940726,70572.80
13940727,70488.80
13940728,70414.60
13940729,70342.30
13940803,69764.30
13940804,69792.50
